g,level_2_energy,level_2_status,level_3_energy,level_3_status,level_4_energy,level_4_status,level_5_energy,level_5_status,level_6_energy,level_6_status,level_7_energy,level_7_status
0.05,100.43230974886076,optimal,100.49954986530223,optimal,100.49985613929753,optimal_inaccurate,100.49985475934095,optimal_inaccurate,100.49984863661433,optimal,100.49985336386385,optimal_inaccurate
0.1325,14.668018208896473,optimal,14.736759190775718,optimal,14.737720862943595,optimal_inaccurate,14.738936601245193,optimal_inaccurate,14.738920056603261,optimal_inaccurate,14.738922164590987,optimal_inaccurate
0.21500000000000002,5.828340757298661,optimal,5.900374813400785,optimal,5.902843164857969,optimal_inaccurate,5.905844235883413,optimal_inaccurate,5.905906282626761,optimal_inaccurate,5.905855203436308,optimal_inaccurate
0.2975,3.2327796199472933,optimal,3.31051381013878,optimal,3.3150605178655765,optimal_inaccurate,3.3204647666223748,optimal_inaccurate,3.3204927919475105,optimal_inaccurate,3.3205466162793145,optimal_inaccurate
0.38,2.1237021542747168,optimal,2.2102361813044413,optimal,2.2173477492215965,optimal_inaccurate,2.2254520686142523,optimal_inaccurate,2.2254994366979624,optimal_inaccurate,2.225524483979272,optimal_inaccurate
0.4625,1.541587880033155,optimal,1.640626969975602,optimal,1.650638755689805,optimal_inaccurate,1.6615644097572972,optimal_inaccurate,1.661541296517191,optimal_inaccurate,1.661635732264695,optimal_inaccurate
0.545,1.1911544198168502,optimal,1.3068478012647502,optimal,1.3199289148879045,optimal_inaccurate,1.3335886143561069,optimal_inaccurate,1.3336086407638228,optimal_inaccurate,1.3336724581379238,optimal_inaccurate
0.6275000000000001,0.957179331558334,optimal,1.093952999036149,optimal,1.1101850718270803,optimal_inaccurate,1.1264862720911766,optimal_inaccurate,1.1264795001188252,optimal_inaccurate,1.1265163477635811,optimal_inaccurate
0.7100000000000001,0.7871679330237956,optimal,0.9495904655629065,optimal,0.9690011402897446,optimal_inaccurate,0.987715484347342,optimal_inaccurate,0.9878005809474347,optimal_inaccurate,0.9868302577432208,optimal_inaccurate
0.7925000000000001,0.6544254031776716,optimal,0.8471150186946143,optimal,0.8696374455440112,optimal_inaccurate,0.8905714395661348,optimal_inaccurate,0.8906284163940277,optimal_inaccurate,1.0845349131266866,optimal_inaccurate
0.8750000000000001,0.5442113352273605,optimal_inaccurate,0.7717785079946684,optimal,0.7974142597398582,optimal_inaccurate,0.8204702585723521,optimal_inaccurate,0.8205680066779041,optimal_inaccurate,0.8206223454194355,optimal_inaccurate
0.9575000000000001,0.4478467335103399,optimal_inaccurate,0.7148623742277234,optimal,0.7433984401259663,optimal_inaccurate,0.7684715977387719,optimal_inaccurate,0.768484366576693,optimal_inaccurate,0.7687001360182925,optimal_inaccurate
1.04,0.35995177661407673,optimal,0.6709315346097249,optimal,0.7023311050356954,optimal_inaccurate,0.7007219500530095,optimal_inaccurate,0.7292666576205273,optimal_inaccurate,2.336691299162026,optimal_inaccurate
1.1225,0.27704769682609487,optimal,0.6364462702156046,optimal,0.670652039813211,optimal_inaccurate,0.6633757313067332,optimal_inaccurate,0.6993076216687972,optimal_inaccurate,11.04717925536243,optimal_inaccurate
1.205,0.19680402344885162,optimal,0.6090154921512638,optimal,0.645922682075768,optimal_inaccurate,0.6760054029276087,optimal_inaccurate,0.6762625368054269,optimal_inaccurate,0.6764262120434155,optimal_inaccurate
1.2875,0.11761224011361093,optimal,0.5869728755038286,optimal,0.6264507668070673,optimal_inaccurate,0.6242064294721936,optimal_inaccurate,0.6584243511760982,optimal_inaccurate,0.658597886153915,optimal_inaccurate
1.37,0.038332942906673995,optimal,0.5691258720965613,optimal,0.61113767784856,optimal_inaccurate,0.6441100026173601,optimal_inaccurate,0.644552055917291,optimal_inaccurate,64.4215066203159,optimal_inaccurate
1.4525000000000001,-0.041859125225975236,optimal,0.5546009646068073,optimal,0.5991733983643421,optimal_inaccurate,0.633495874716991,optimal_inaccurate,0.6338962487479618,optimal_inaccurate,628.1054246118935,optimal_inaccurate
