level,energy,u
5,0.46,0.3875
5,0.5,0.4
5,0.52,0.4
5,0.54,0.4
5,0.56,0.41250000000000003
5,0.58,0.41250000000000003
5,0.6,0.41250000000000003
5,0.6,0.42500000000000004
5,0.62,0.42500000000000004
5,0.64,0.42500000000000004
5,0.64,0.4375
5,0.66,0.4375
5,0.68,0.4375
5,0.68,0.45
5,0.7000000000000001,0.4375
5,0.7000000000000001,0.45
5,0.72,0.45
5,0.72,0.4625
5,0.74,0.45
5,0.74,0.4625
5,0.76,0.4625
5,0.76,0.47500000000000003
5,0.78,0.4625
5,0.78,0.47500000000000003
5,0.8,0.4625
5,0.8,0.47500000000000003
5,0.8,0.48750000000000004
5,0.8200000000000001,0.47500000000000003
5,0.8200000000000001,0.48750000000000004
5,0.84,0.47500000000000003
5,0.84,0.48750000000000004
5,0.84,0.5
5,0.86,0.48750000000000004
5,0.86,0.5
5,0.88,0.48750000000000004
5,0.88,0.5
5,0.88,0.5125000000000001
5,0.9,0.5
5,0.9,0.5125000000000001
5,0.92,0.5
5,0.92,0.5125000000000001
5,0.92,0.525
5,0.9400000000000001,0.5125000000000001
5,0.9400000000000001,0.525
5,0.96,0.5125000000000001
5,0.96,0.525
5,0.96,0.5375
5,0.98,0.525
5,0.98,0.5375
5,1.0,0.525
5,1.0,0.5375
5,1.0,0.55
5,1.02,0.5375
5,1.02,0.55
5,1.04,0.5375
5,1.04,0.55
5,1.04,0.5625
5,1.06,0.55
5,1.06,0.5625
5,1.06,0.5750000000000001
5,1.08,0.55
5,1.08,0.5625
5,1.08,0.5750000000000001
5,1.1,0.5625
5,1.1,0.5750000000000001
5,1.1,0.5875
5,1.12,0.5625
5,1.12,0.5750000000000001
5,1.12,0.5875
5,1.1400000000000001,0.5750000000000001
5,1.1400000000000001,0.5875
5,1.1400000000000001,0.6000000000000001
5,1.16,0.5750000000000001
5,1.16,0.5875
5,1.16,0.6000000000000001
5,1.18,0.5875
5,1.18,0.6000000000000001
5,1.18,0.6125
5,1.2,0.5875
5,1.2,0.6000000000000001
5,1.2,0.6125
5,1.2,0.625
5,1.22,0.6000000000000001
5,1.22,0.6125
5,1.22,0.625
5,1.24,0.6000000000000001
5,1.24,0.6125
5,1.24,0.625
5,1.24,0.6375000000000001
5,1.26,0.6125
5,1.26,0.625
5,1.26,0.6375000000000001
5,1.28,0.6125
5,1.28,0.625
5,1.28,0.6375000000000001
5,1.28,0.65
5,1.3,0.625
5,1.3,0.6375000000000001
5,1.3,0.65
5,1.32,0.625
5,1.32,0.6375000000000001
5,1.32,0.65
5,1.32,0.6625000000000001
5,1.34,0.6375000000000001
5,1.34,0.65
5,1.34,0.6625000000000001
5,1.36,0.6375000000000001
5,1.36,0.65
5,1.36,0.6625000000000001
5,1.36,0.675
5,1.3800000000000001,0.65
5,1.3800000000000001,0.6625000000000001
5,1.3800000000000001,0.675
5,1.3800000000000001,0.6875
5,1.4000000000000001,0.6625000000000001
5,1.4000000000000001,0.675
5,1.4000000000000001,0.6875
5,1.42,0.6625000000000001
5,1.42,0.675
5,1.42,0.6875
5,1.42,0.7000000000000001
5,1.44,0.675
5,1.44,0.6875
5,1.44,0.7000000000000001
5,1.46,0.675
5,1.46,0.6875
5,1.46,0.7000000000000001
5,1.46,0.7125
5,1.48,0.6875
5,1.48,0.7000000000000001
5,1.48,0.7125
5,1.5,0.6875
5,1.5,0.7000000000000001
5,1.5,0.7125
5,1.5,0.7250000000000001
5,1.52,0.7000000000000001
5,1.52,0.7125
5,1.52,0.7250000000000001
5,1.54,0.7000000000000001
5,1.54,0.7125
5,1.54,0.7250000000000001
5,1.54,0.7375
5,1.56,0.7125
5,1.56,0.7250000000000001
5,1.56,0.7375
5,1.56,0.75
5,1.58,0.7125
5,1.58,0.7250000000000001
5,1.58,0.7375
5,1.58,0.75
5,1.6,0.7250000000000001
5,1.6,0.7375
5,1.6,0.75
5,1.6,0.7625000000000001
5,1.62,0.7250000000000001
5,1.62,0.7375
5,1.62,0.75
5,1.62,0.7625000000000001
5,1.6400000000000001,0.7375
5,1.6400000000000001,0.75
5,1.6400000000000001,0.7625000000000001
5,1.6400000000000001,0.775
5,1.6600000000000001,0.7375
5,1.6600000000000001,0.75
5,1.6600000000000001,0.7625000000000001
5,1.6600000000000001,0.775
5,1.68,0.75
5,1.68,0.7625000000000001
5,1.68,0.775
5,1.68,0.7875000000000001
5,1.7,0.75
5,1.7,0.7625000000000001
5,1.7,0.775
5,1.7,0.7875000000000001
5,1.72,0.7625000000000001
5,1.72,0.775
5,1.72,0.7875000000000001
5,1.72,0.8
5,1.74,0.7625000000000001
5,1.74,0.775
5,1.74,0.7875000000000001
5,1.74,0.8
5,1.76,0.775
5,1.76,0.7875000000000001
5,1.76,0.8
5,1.76,0.8125
5,1.78,0.775
5,1.78,0.7875000000000001
5,1.78,0.8
5,1.78,0.8125
5,1.8,0.7875000000000001
5,1.8,0.8
5,1.8,0.8125
5,1.8,0.8250000000000001
5,1.82,0.7875000000000001
5,1.82,0.8
5,1.82,0.8125
5,1.82,0.8250000000000001
5,1.82,0.8375
5,1.84,0.8
5,1.84,0.8125
5,1.84,0.8250000000000001
5,1.84,0.8375
5,1.86,0.8
5,1.86,0.8125
5,1.86,0.8250000000000001
5,1.86,0.8375
5,1.86,0.8500000000000001
5,1.8800000000000001,0.8125
5,1.8800000000000001,0.8250000000000001
5,1.8800000000000001,0.8375
5,1.8800000000000001,0.8500000000000001
5,1.9000000000000001,0.8125
5,1.9000000000000001,0.8250000000000001
5,1.9000000000000001,0.8375
5,1.9000000000000001,0.8500000000000001
5,1.9000000000000001,0.8625
5,1.92,0.8250000000000001
5,1.92,0.8375
5,1.92,0.8500000000000001
5,1.92,0.8625
5,1.94,0.8250000000000001
5,1.94,0.8375
5,1.94,0.8500000000000001
5,1.94,0.8625
5,1.94,0.875
5,1.96,0.8375
5,1.96,0.8500000000000001
5,1.96,0.8625
5,1.96,0.875
5,1.98,0.8375
5,1.98,0.8500000000000001
5,1.98,0.8625
5,1.98,0.875
5,1.98,0.8875000000000001
5,2.0,0.8500000000000001
5,2.0,0.8625
5,2.0,0.875
5,2.0,0.8875000000000001
5,2.02,0.8500000000000001
5,2.02,0.8625
5,2.02,0.875
5,2.02,0.8875000000000001
5,2.02,0.9
5,2.04,0.8625
5,2.04,0.875
5,2.04,0.8875000000000001
5,2.04,0.9
5,2.06,0.8625
5,2.06,0.875
5,2.06,0.8875000000000001
5,2.06,0.9
5,2.06,0.9125000000000001
5,2.08,0.875
5,2.08,0.8875000000000001
5,2.08,0.9
5,2.08,0.9125000000000001
5,2.1,0.875
5,2.1,0.8875000000000001
5,2.1,0.9
5,2.1,0.9125000000000001
5,2.1,0.925
5,2.12,0.8875000000000001
5,2.12,0.9
5,2.12,0.9125000000000001
5,2.12,0.925
5,2.14,0.8875000000000001
5,2.14,0.9
5,2.14,0.9125000000000001
5,2.14,0.925
5,2.14,0.9375
5,2.16,0.9
5,2.16,0.9125000000000001
5,2.16,0.925
5,2.16,0.9375
5,2.18,0.9
5,2.18,0.9125000000000001
5,2.18,0.925
5,2.18,0.9375
5,2.18,0.9500000000000001
5,2.2,0.9125000000000001
5,2.2,0.925
5,2.2,0.9375
5,2.2,0.9500000000000001
5,2.22,0.9125000000000001
5,2.22,0.925
5,2.22,0.9375
5,2.22,0.9500000000000001
5,2.22,0.9625
5,2.24,0.925
5,2.24,0.9375
5,2.24,0.9500000000000001
5,2.24,0.9625
5,2.2600000000000002,0.925
5,2.2600000000000002,0.9375
5,2.2600000000000002,0.9500000000000001
5,2.2600000000000002,0.9625
5,2.2600000000000002,0.9750000000000001
5,2.2800000000000002,0.9375
5,2.2800000000000002,0.9500000000000001
5,2.2800000000000002,0.9625
5,2.2800000000000002,0.9750000000000001
5,2.3000000000000003,0.9375
5,2.3000000000000003,0.9500000000000001
5,2.3000000000000003,0.9625
5,2.3000000000000003,0.9750000000000001
5,2.3000000000000003,0.9875
5,2.32,0.9375
5,2.32,0.9500000000000001
5,2.32,0.9625
5,2.32,0.9750000000000001
5,2.32,0.9875
5,2.34,0.9500000000000001
5,2.34,0.9625
5,2.34,0.9750000000000001
5,2.34,0.9875
5,2.34,1.0
5,2.36,0.9500000000000001
5,2.36,0.9625
5,2.36,0.9750000000000001
5,2.36,0.9875
5,2.36,1.0
5,2.38,0.9625
5,2.38,0.9750000000000001
5,2.38,0.9875
5,2.38,1.0
5,2.38,1.0125
5,2.4,0.9625
5,2.4,0.9750000000000001
5,2.4,0.9875
5,2.4,1.0
5,2.4,1.0125
5,2.42,0.9750000000000001
5,2.42,0.9875
5,2.42,1.0
5,2.42,1.0125
5,2.44,0.9750000000000001
5,2.44,0.9875
5,2.44,1.0
5,2.44,1.0125
5,2.44,1.0250000000000001
5,2.46,0.9875
5,2.46,1.0
5,2.46,1.0125
5,2.46,1.0250000000000001
5,2.48,0.9875
5,2.48,1.0
5,2.48,1.0125
5,2.48,1.0250000000000001
5,2.48,1.0375
5,2.5,1.0
5,2.5,1.0125
5,2.5,1.0250000000000001
5,2.5,1.0375
5,2.52,1.0
5,2.52,1.0125
5,2.52,1.0250000000000001
5,2.52,1.0375
5,2.52,1.05
5,2.54,1.0
5,2.54,1.0125
5,2.54,1.0250000000000001
5,2.54,1.0375
5,2.54,1.05
5,2.56,1.0125
5,2.56,1.0250000000000001
5,2.56,1.0375
5,2.56,1.05
5,2.56,1.0625
5,2.58,1.0125
5,2.58,1.0250000000000001
5,2.58,1.0375
5,2.58,1.05
5,2.58,1.0625
5,2.6,1.0250000000000001
5,2.6,1.0375
5,2.6,1.05
5,2.6,1.0625
5,2.6,1.075
5,2.62,1.0250000000000001
5,2.62,1.0375
5,2.62,1.05
5,2.62,1.0625
5,2.62,1.075
5,2.64,1.0375
5,2.64,1.05
5,2.64,1.0625
5,2.64,1.075
5,2.64,1.0875000000000001
5,2.66,1.0375
5,2.66,1.05
5,2.66,1.0625
5,2.66,1.075
5,2.66,1.0875000000000001
5,2.68,1.05
5,2.68,1.0625
5,2.68,1.075
5,2.68,1.0875000000000001
5,2.7,1.05
5,2.7,1.0625
5,2.7,1.075
5,2.7,1.0875000000000001
5,2.7,1.1
5,2.72,1.05
5,2.72,1.0625
5,2.72,1.075
5,2.72,1.0875000000000001
5,2.72,1.1
5,2.74,1.0625
5,2.74,1.075
5,2.74,1.0875000000000001
5,2.74,1.1
5,2.74,1.1125
5,2.7600000000000002,1.0625
5,2.7600000000000002,1.075
5,2.7600000000000002,1.0875000000000001
5,2.7600000000000002,1.1
5,2.7600000000000002,1.1125
5,2.7800000000000002,1.075
5,2.7800000000000002,1.0875000000000001
5,2.7800000000000002,1.1
5,2.7800000000000002,1.1125
5,2.7800000000000002,1.125
5,2.8000000000000003,1.075
5,2.8000000000000003,1.0875000000000001
5,2.8000000000000003,1.1
5,2.8000000000000003,1.1125
5,2.8000000000000003,1.125
5,2.82,1.0875000000000001
5,2.82,1.1
5,2.82,1.1125
5,2.82,1.125
5,2.82,1.1375
5,2.84,1.0875000000000001
5,2.84,1.1
5,2.84,1.1125
5,2.84,1.125
5,2.84,1.1375
5,2.86,1.0875000000000001
5,2.86,1.1
5,2.86,1.1125
5,2.86,1.125
5,2.86,1.1375
5,2.88,1.1
5,2.88,1.1125
5,2.88,1.125
5,2.88,1.1375
5,2.88,1.1500000000000001
5,2.9,1.1
5,2.9,1.1125
5,2.9,1.125
5,2.9,1.1375
5,2.9,1.1500000000000001
5,2.92,1.1125
5,2.92,1.125
5,2.92,1.1375
5,2.92,1.1500000000000001
5,2.92,1.1625
5,2.94,1.1125
5,2.94,1.125
5,2.94,1.1375
5,2.94,1.1500000000000001
5,2.94,1.1625
5,2.96,1.1125
5,2.96,1.125
5,2.96,1.1375
5,2.96,1.1500000000000001
5,2.96,1.1625
5,2.96,1.175
5,2.98,1.125
5,2.98,1.1375
5,2.98,1.1500000000000001
5,2.98,1.1625
5,2.98,1.175
5,3.0,1.125
5,3.0,1.1375
5,3.0,1.1500000000000001
5,3.0,1.1625
5,3.0,1.175
5,3.02,1.1375
5,3.02,1.1500000000000001
5,3.02,1.1625
5,3.02,1.175
5,3.02,1.1875
5,3.04,1.1375
5,3.04,1.1500000000000001
5,3.04,1.1625
5,3.04,1.175
5,3.04,1.1875
5,3.06,1.1500000000000001
5,3.06,1.1625
5,3.06,1.175
5,3.06,1.1875
5,3.06,1.2000000000000002
5,3.08,1.1500000000000001
5,3.08,1.1625
5,3.08,1.175
5,3.08,1.1875
5,3.08,1.2000000000000002
5,3.1,1.1500000000000001
5,3.1,1.1625
5,3.1,1.175
5,3.1,1.1875
5,3.1,1.2000000000000002
5,3.1,1.2125000000000001
5,3.12,1.1625
5,3.12,1.175
5,3.12,1.1875
5,3.12,1.2000000000000002
5,3.12,1.2125000000000001
5,3.14,1.1625
5,3.14,1.175
5,3.14,1.1875
5,3.14,1.2000000000000002
5,3.14,1.2125000000000001
5,3.16,1.175
5,3.16,1.1875
5,3.16,1.2000000000000002
5,3.16,1.2125000000000001
5,3.16,1.225
5,3.18,1.175
5,3.18,1.1875
5,3.18,1.2000000000000002
5,3.18,1.2125000000000001
5,3.18,1.225
5,3.2,1.175
5,3.2,1.1875
5,3.2,1.2000000000000002
5,3.2,1.2125000000000001
5,3.2,1.225
5,3.2,1.2375
5,3.22,1.1875
5,3.22,1.2000000000000002
5,3.22,1.2125000000000001
5,3.22,1.225
5,3.22,1.2375
5,3.24,1.1875
5,3.24,1.2000000000000002
5,3.24,1.2125000000000001
5,3.24,1.225
5,3.24,1.2375
5,3.2600000000000002,1.2000000000000002
5,3.2600000000000002,1.2125000000000001
5,3.2600000000000002,1.225
5,3.2600000000000002,1.2375
5,3.2600000000000002,1.25
5,3.2800000000000002,1.2000000000000002
5,3.2800000000000002,1.2125000000000001
5,3.2800000000000002,1.225
5,3.2800000000000002,1.2375
5,3.2800000000000002,1.25
5,3.3000000000000003,1.2000000000000002
5,3.3000000000000003,1.2125000000000001
5,3.3000000000000003,1.225
5,3.3000000000000003,1.2375
5,3.3000000000000003,1.25
5,3.3000000000000003,1.2625000000000002
5,3.3200000000000003,1.2125000000000001
5,3.3200000000000003,1.225
5,3.3200000000000003,1.2375
5,3.3200000000000003,1.25
