level,energy,x
5,0.46,-0.4375
5,0.46,0.4375
5,0.48,-0.4291666666666667
5,0.48,0.4291666666666667
5,0.5,-0.425
5,0.5,-0.42083333333333334
5,0.5,0.4208333333333333
5,0.5,0.42499999999999993
5,0.52,-0.4166666666666667
5,0.52,-0.4125
5,0.52,0.4125
5,0.52,0.41666666666666663
5,0.54,-0.4125
5,0.54,-0.4083333333333333
5,0.54,0.4083333333333333
5,0.54,0.4125
5,0.56,-0.4083333333333333
5,0.56,-0.4041666666666667
5,0.56,-0.4
5,0.56,0.4
5,0.56,0.4041666666666667
5,0.56,0.4083333333333333
5,0.58,-0.4
5,0.58,-0.3958333333333333
5,0.58,-0.39166666666666666
5,0.58,0.3916666666666666
5,0.58,0.39583333333333337
5,0.58,0.4
5,0.6,-0.3958333333333333
5,0.6,-0.39166666666666666
5,0.6,-0.3875
5,0.6,0.38749999999999996
5,0.6,0.3916666666666666
5,0.6,0.39583333333333337
5,0.62,-0.39166666666666666
5,0.62,-0.3875
5,0.62,-0.3833333333333333
5,0.62,-0.37916666666666665
5,0.62,0.37916666666666665
5,0.62,0.3833333333333333
5,0.62,0.38749999999999996
5,0.62,0.3916666666666666
5,0.64,-0.3833333333333333
5,0.64,-0.37916666666666665
5,0.64,-0.375
5,0.64,0.375
5,0.64,0.37916666666666665
5,0.64,0.3833333333333333
5,0.66,-0.37916666666666665
5,0.66,-0.375
5,0.66,-0.37083333333333335
5,0.66,-0.3666666666666667
5,0.66,0.3666666666666667
5,0.66,0.37083333333333335
5,0.66,0.375
5,0.66,0.37916666666666665
5,0.68,-0.375
5,0.68,-0.37083333333333335
5,0.68,-0.3666666666666667
5,0.68,-0.3625
5,0.68,0.36249999999999993
5,0.68,0.3666666666666667
5,0.68,0.37083333333333335
5,0.68,0.375
5,0.7000000000000001,-0.37083333333333335
5,0.7000000000000001,-0.3666666666666667
5,0.7000000000000001,-0.3625
5,0.7000000000000001,-0.35833333333333334
5,0.7000000000000001,-0.35416666666666663
5,0.7000000000000001,0.35416666666666663
5,0.7000000000000001,0.3583333333333333
5,0.7000000000000001,0.36249999999999993
5,0.7000000000000001,0.3666666666666667
5,0.7000000000000001,0.37083333333333335
5,0.72,-0.3625
5,0.72,-0.35833333333333334
5,0.72,-0.35416666666666663
5,0.72,-0.35
5,0.72,0.35
5,0.72,0.35416666666666663
5,0.72,0.3583333333333333
5,0.72,0.36249999999999993
5,0.74,-0.35833333333333334
5,0.74,-0.35416666666666663
5,0.74,-0.35
5,0.74,-0.3458333333333333
5,0.74,-0.3416666666666667
5,0.74,0.3416666666666667
5,0.74,0.3458333333333333
5,0.74,0.35
5,0.74,0.35416666666666663
5,0.74,0.3583333333333333
5,0.76,-0.35416666666666663
5,0.76,-0.35
5,0.76,-0.3458333333333333
5,0.76,-0.3416666666666667
5,0.76,-0.3375
5,0.76,0.3375
5,0.76,0.3416666666666667
5,0.76,0.3458333333333333
5,0.76,0.35
5,0.76,0.35416666666666663
5,0.78,-0.35
5,0.78,-0.3458333333333333
5,0.78,-0.3416666666666667
5,0.78,-0.3375
5,0.78,-0.33333333333333337
5,0.78,0.33333333333333337
5,0.78,0.3375
5,0.78,0.3416666666666667
5,0.78,0.3458333333333333
5,0.78,0.35
5,0.8,-0.3458333333333333
5,0.8,-0.3416666666666667
5,0.8,-0.3375
5,0.8,-0.33333333333333337
5,0.8,-0.32916666666666666
5,0.8,0.3291666666666666
5,0.8,0.33333333333333337
5,0.8,0.3375
5,0.8,0.3416666666666667
5,0.8,0.3458333333333333
5,0.8200000000000001,-0.3416666666666667
5,0.8200000000000001,-0.3375
5,0.8200000000000001,-0.33333333333333337
5,0.8200000000000001,-0.32916666666666666
5,0.8200000000000001,-0.325
5,0.8200000000000001,-0.3208333333333333
5,0.8200000000000001,0.3208333333333333
5,0.8200000000000001,0.32499999999999996
5,0.8200000000000001,0.3291666666666666
5,0.8200000000000001,0.33333333333333337
5,0.8200000000000001,0.3375
5,0.8200000000000001,0.3416666666666667
5,0.84,-0.3375
5,0.84,-0.33333333333333337
5,0.84,-0.32916666666666666
5,0.84,-0.325
5,0.84,-0.3208333333333333
5,0.84,-0.31666666666666665
5,0.84,0.31666666666666665
5,0.84,0.3208333333333333
5,0.84,0.32499999999999996
5,0.84,0.3291666666666666
5,0.84,0.33333333333333337
5,0.84,0.3375
5,0.86,-0.33333333333333337
5,0.86,-0.32916666666666666
5,0.86,-0.325
5,0.86,-0.3208333333333333
5,0.86,-0.31666666666666665
5,0.86,-0.3125
5,0.86,0.3125
5,0.86,0.31666666666666665
5,0.86,0.3208333333333333
5,0.86,0.32499999999999996
5,0.86,0.3291666666666666
5,0.86,0.33333333333333337
5,0.88,-0.32916666666666666
5,0.88,-0.325
5,0.88,-0.3208333333333333
5,0.88,-0.31666666666666665
5,0.88,-0.3125
5,0.88,-0.30833333333333335
5,0.88,0.30833333333333335
5,0.88,0.3125
5,0.88,0.31666666666666665
5,0.88,0.3208333333333333
5,0.88,0.32499999999999996
5,0.88,0.3291666666666666
5,0.9,-0.325
5,0.9,-0.3208333333333333
5,0.9,-0.31666666666666665
5,0.9,-0.3125
5,0.9,-0.30833333333333335
5,0.9,-0.3041666666666667
5,0.9,0.3041666666666667
5,0.9,0.30833333333333335
5,0.9,0.3125
5,0.9,0.31666666666666665
5,0.9,0.3208333333333333
5,0.9,0.32499999999999996
5,0.92,-0.3208333333333333
5,0.92,-0.31666666666666665
5,0.92,-0.3125
5,0.92,-0.30833333333333335
5,0.92,-0.3041666666666667
5,0.92,-0.3
5,0.92,0.30000000000000004
5,0.92,0.3041666666666667
5,0.92,0.30833333333333335
5,0.92,0.3125
5,0.92,0.31666666666666665
5,0.92,0.3208333333333333
5,0.9400000000000001,-0.31666666666666665
5,0.9400000000000001,-0.3125
5,0.9400000000000001,-0.30833333333333335
5,0.9400000000000001,-0.3041666666666667
5,0.9400000000000001,-0.3
5,0.9400000000000001,-0.29583333333333334
5,0.9400000000000001,-0.29166666666666663
5,0.9400000000000001,0.29166666666666663
5,0.9400000000000001,0.2958333333333333
5,0.9400000000000001,0.30000000000000004
5,0.9400000000000001,0.3041666666666667
5,0.9400000000000001,0.30833333333333335
5,0.9400000000000001,0.3125
5,0.9400000000000001,0.31666666666666665
5,0.96,-0.3125
5,0.96,-0.30833333333333335
5,0.96,-0.3041666666666667
5,0.96,-0.3
5,0.96,-0.29583333333333334
5,0.96,-0.29166666666666663
5,0.96,-0.2875
5,0.96,0.2875
5,0.96,0.29166666666666663
5,0.96,0.2958333333333333
5,0.96,0.30000000000000004
5,0.96,0.3041666666666667
5,0.96,0.30833333333333335
5,0.96,0.3125
5,0.98,-0.30833333333333335
5,0.98,-0.3041666666666667
5,0.98,-0.3
5,0.98,-0.29583333333333334
5,0.98,-0.29166666666666663
5,0.98,-0.2875
5,0.98,-0.2833333333333333
5,0.98,0.2833333333333333
5,0.98,0.2875
5,0.98,0.29166666666666663
5,0.98,0.2958333333333333
5,0.98,0.30000000000000004
5,0.98,0.3041666666666667
5,0.98,0.30833333333333335
5,1.0,-0.3041666666666667
5,1.0,-0.3
5,1.0,-0.29583333333333334
5,1.0,-0.29166666666666663
5,1.0,-0.2875
5,1.0,-0.2833333333333333
5,1.0,-0.2791666666666667
5,1.0,0.2791666666666667
5,1.0,0.2833333333333333
5,1.0,0.2875
5,1.0,0.29166666666666663
5,1.0,0.2958333333333333
5,1.0,0.30000000000000004
5,1.0,0.3041666666666667
5,1.02,-0.3
5,1.02,-0.29583333333333334
5,1.02,-0.29166666666666663
5,1.02,-0.2875
5,1.02,-0.2833333333333333
5,1.02,-0.2791666666666667
5,1.02,0.2791666666666667
5,1.02,0.2833333333333333
5,1.02,0.2875
5,1.02,0.29166666666666663
5,1.02,0.2958333333333333
5,1.02,0.30000000000000004
5,1.04,-0.3
5,1.04,-0.29583333333333334
5,1.04,-0.29166666666666663
5,1.04,-0.2875
5,1.04,-0.2833333333333333
5,1.04,-0.2791666666666667
5,1.04,-0.275
5,1.04,0.275
5,1.04,0.2791666666666667
5,1.04,0.2833333333333333
5,1.04,0.2875
5,1.04,0.29166666666666663
5,1.04,0.2958333333333333
5,1.04,0.30000000000000004
5,1.06,-0.29583333333333334
5,1.06,-0.29166666666666663
5,1.06,-0.2875
5,1.06,-0.2833333333333333
5,1.06,-0.2791666666666667
5,1.06,-0.275
5,1.06,-0.27083333333333337
5,1.06,0.27083333333333337
5,1.06,0.275
5,1.06,0.2791666666666667
5,1.06,0.2833333333333333
5,1.06,0.2875
5,1.06,0.29166666666666663
5,1.06,0.2958333333333333
5,1.08,-0.29166666666666663
5,1.08,-0.2875
5,1.08,-0.2833333333333333
5,1.08,-0.2791666666666667
5,1.08,-0.275
5,1.08,-0.27083333333333337
5,1.08,-0.26666666666666666
5,1.08,0.2666666666666666
5,1.08,0.27083333333333337
5,1.08,0.275
5,1.08,0.2791666666666667
5,1.08,0.2833333333333333
5,1.08,0.2875
5,1.08,0.29166666666666663
5,1.1,-0.2875
5,1.1,-0.2833333333333333
5,1.1,-0.2791666666666667
5,1.1,-0.275
5,1.1,-0.27083333333333337
5,1.1,-0.26666666666666666
5,1.1,-0.2625
5,1.1,0.26249999999999996
5,1.1,0.2666666666666666
5,1.1,0.27083333333333337
5,1.1,0.275
5,1.1,0.2791666666666667
5,1.1,0.2833333333333333
